ID,population,DTA,ASI
W22 x TIL01 BC1S4# Line_B001,W22TIL01,76,1
W22 x TIL01 BC1S4# Line_B002,W22TIL01,77,0
W22 x TIL01 BC1S4# Line_B004,W22TIL01,71,0
W22 x TIL01 BC1S4# Line_B005,W22TIL01,73,2
W22 x TIL01 BC1S4# Line_B006,W22TIL01,66,1
W22 x TIL01 BC1S4# Line_B007,W22TIL01,76,-1
W22 x TIL01 BC1S4# Line_B008,W22TIL01,76,-7
W22 x TIL01 BC1S4# Line_B009,W22TIL01,71,1
W22 x TIL01 BC1S4# Line_B010,W22TIL01,79,-4
W22 x TIL01 BC1S4# Line_B011,W22TIL01,70,3
W22 x TIL01 BC1S4# Line_B012,W22TIL01,67,-2
W22 x TIL01 BC1S4# Line_B013,W22TIL01,66,-2
W22 x TIL01 BC1S4# Line_B014,W22TIL01,71,-1
W22 x TIL01 BC1S4# Line_B015,W22TIL01,69,0
W22 x TIL01 BC1S4# Line_B016,W22TIL01,74,-3
W22 x TIL01 BC1S4# Line_B019,W22TIL01,83,-2
W22 x TIL01 BC1S4# Line_B020,W22TIL01,76,-2
W22 x TIL01 BC1S4# Line_B021,W22TIL01,72,-1
W22 x TIL01 BC1S4# Line_B022,W22TIL01,80,-2
W22 x TIL01 BC1S4# Line_B024,W22TIL01,77,-3
W22 x TIL01 BC1S4# Line_B025,W22TIL01,75,2
W22 x TIL01 BC1S4# Line_B026,W22TIL01,74,0
W22 x TIL01 BC1S4# Line_B027,W22TIL01,69,-1
W22 x TIL01 BC1S4# Line_B028,W22TIL01,76,1
W22 x TIL01 BC1S4# Line_B029,W22TIL01,73,2
W22 x TIL01 BC1S4# Line_B030,W22TIL01,70,0
W22 x TIL01 BC1S4# Line_B031,W22TIL01,68,0
W22 x TIL01 BC1S4# Line_B032,W22TIL01,74,-1
W22 x TIL01 BC1S4# Line_B033,W22TIL01,69,0
W22 x TIL01 BC1S4# Line_B034,W22TIL01,86,0
W22 x TIL01 BC1S4# Line_B035,W22TIL01,80,-2
W22 x TIL01 BC1S4# Line_B036,W22TIL01,77,-2
W22 x TIL01 BC1S4# Line_B037,W22TIL01,78,3
W22 x TIL01 BC1S4# Line_B038,W22TIL01,78,0
W22 x TIL01 BC1S4# Line_B039,W22TIL01,76,-6
W22 x TIL01 BC1S4# Line_B040,W22TIL01,69,-2
W22 x TIL01 BC1S4# Line_B042,W22TIL01,70,2
W22 x TIL01 BC1S4# Line_B043,W22TIL01,75,-2
W22 x TIL01 BC1S4# Line_B044,W22TIL01,73,-4
W22 x TIL01 BC1S4# Line_B045,W22TIL01,73,-2
W22 x TIL01 BC1S4# Line_B046,W22TIL01,72,0
W22 x TIL01 BC1S4# Line_B048,W22TIL01,76,0
W22 x TIL01 BC1S4# Line_B049,W22TIL01,73,0
W22 x TIL01 BC1S4# Line_B050,W22TIL01,66,-1
W22 x TIL01 BC1S4# Line_B051,W22TIL01,73,-3
W22 x TIL01 BC1S4# Line_B052,W22TIL01,74,-3
W22 x TIL01 BC1S4# Line_B053,W22TIL01,73,-2
W22 x TIL01 BC1S4# Line_B054,W22TIL01,79,-4
W22 x TIL01 BC1S4# Line_B056,W22TIL01,72,-1
W22 x TIL01 BC1S4# Line_B057,W22TIL01,74,-4
W22 x TIL01 BC1S4# Line_B058,W22TIL01,78,-1
W22 x TIL01 BC1S4# Line_B059,W22TIL01,83,0
W22 x TIL01 BC1S4# Line_B060,W22TIL01,79,-5
W22 x TIL01 BC1S4# Line_B062,W22TIL01,68,1
W22 x TIL01 BC1S4# Line_B064,W22TIL01,73,-1
W22 x TIL01 BC1S4# Line_B065,W22TIL01,73,-1
W22 x TIL01 BC1S4# Line_B066,W22TIL01,70,-1
W22 x TIL01 BC1S4# Line_B067,W22TIL01,70,0
W22 x TIL01 BC1S4# Line_B068,W22TIL01,76,6
W22 x TIL01 BC1S4# Line_B069,W22TIL01,77,-4
W22 x TIL01 BC1S4# Line_B070,W22TIL01,75,0
W22 x TIL01 BC1S4# Line_B072,W22TIL01,73,-1
W22 x TIL01 BC1S4# Line_B073,W22TIL01,69,-8
W22 x TIL01 BC1S4# Line_B074,W22TIL01,75,-1
W22 x TIL01 BC1S4# Line_B075,W22TIL01,75,-1
W22 x TIL01 BC1S4# Line_C001,W22TIL01,77,0
